2015-09-21 11:56:12,104 [7] INFO  Umbraco.Core.CoreBootManager - [P4344/T1/D2] Umbraco 7.2.8 application starting on CHRIS-PC
2015-09-21 11:56:12,435 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Determining hash of code files on disk
2015-09-21 11:56:12,448 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Hash determined (took 12ms)
2015-09-21 11:56:12,459 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-09-21 11:56:13,129 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 42 (took 668ms)
2015-09-21 11:56:13,325 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-09-21 11:56:13,325 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2015-09-21 11:56:13,326 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-09-21 11:56:13,327 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 0ms)
2015-09-21 11:56:13,334 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-09-21 11:56:13,335 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 6 (took 1ms)
2015-09-21 11:56:13,335 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-09-21 11:56:13,395 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 36 (took 59ms)
2015-09-21 11:56:13,456 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-09-21 11:56:13,457 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-09-21 11:56:13,457 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-09-21 11:56:13,457 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-09-21 11:56:21,570 [7] INFO  Umbraco.Core.DatabaseContext - [P4344/T1/D2] CanConnect = True
2015-09-21 11:56:21,759 [7] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P4344/T1/D2] Initializing Umbraco internal event handlers for cache refreshing
2015-09-21 11:56:22,046 [7] INFO  Umbraco.Web.Search.ExamineEvents - [P4344/T1/D2] Initializing Examine and binding to business logic events
2015-09-21 11:56:22,254 [7] INFO  Umbraco.Web.Search.ExamineEvents - [P4344/T1/D2] Adding examine event handlers for index providers: 3
2015-09-21 11:56:22,408 [7] INFO  Umbraco.Core.CoreBootManager - [P4344/T1/D2] Umbraco application startup complete (took 10015ms)
2015-09-21 11:56:27,616 [7] INFO  Umbraco.Core.ApplicationContext - [P4344/T1/D2] ApplicationUrl: http://localhost:5180/umbraco (UmbracoModule request)
2015-09-21 11:56:29,916 [7] INFO  umbraco.content - [P4344/T1/D2] Load Xml from file...
2015-09-21 11:56:30,026 [7] INFO  umbraco.content - [P4344/T1/D2] Loaded Xml from file.
2015-09-21 11:56:31,126 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-09-21 11:56:31,127 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 0ms)
2015-09-21 11:56:34,288 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-09-21 11:56:34,290 [7] INFO  Umbraco.Core.PluginManager - [P4344/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 1ms)
2015-09-21 11:57:55,018 [7] INFO  umbraco.BusinessLogic.Log - [P4344/T1/D2] Log scrubbed.  Removed all items older than 2015-07-23 11:57:54
